Index,Date,Departure Time,Arrivel Time,Price
317,2017-11-19,4:30 pm,8:15 pm,$34
318,2017-11-20,7:45 am,11:05 am,$26
319,2017-11-20,9:50 am,2:15 pm,$24
320,2017-11-20,3:30 pm,7:10 pm,$24
321,2017-11-20,3:30 pm,7:10 pm,$34
322,2017-11-21,7:45 am,11:05 am,$26
323,2017-11-21,9:50 am,2:15 pm,$24
324,2017-11-21,3:30 pm,7:10 pm,$24
325,2017-11-21,3:30 pm,7:10 pm,$34
326,2017-11-22,7:45 am,11:05 am,$26
327,2017-11-22,9:50 am,2:15 pm,$24
328,2017-11-22,3:30 pm,7:10 pm,$24
329,2017-11-22,3:30 pm,7:10 pm,$34
330,2017-11-23,7:45 am,11:05 am,$26
331,2017-11-23,9:50 am,2:15 pm,$24
332,2017-11-23,3:30 pm,7:10 pm,$24
333,2017-11-23,3:30 pm,7:10 pm,$34
334,2017-11-24,7:45 am,11:05 am,$26
335,2017-11-24,9:50 am,2:15 pm,$25
336,2017-11-24,3:30 pm,7:40 pm,$25
337,2017-11-24,3:30 pm,7:40 pm,$35
338,2017-11-24,4:30 pm,8:49 pm,$25
339,2017-11-25,7:45 am,11:05 am,$26
340,2017-11-25,9:50 am,2:15 pm,$24
341,2017-11-25,3:30 pm,7:10 pm,$24
342,2017-11-25,3:30 pm,7:10 pm,$34
343,2017-11-26,7:45 am,11:05 am,$26
344,2017-11-26,9:50 am,2:15 pm,$24
345,2017-11-26,3:30 pm,7:44 pm,$25
346,2017-11-26,4:30 pm,8:15 pm,$24
347,2017-11-26,4:30 pm,8:15 pm,$34
348,2017-11-27,7:45 am,11:05 am,$26
349,2017-11-27,9:50 am,2:15 pm,$24
350,2017-11-27,3:30 pm,7:10 pm,$24
351,2017-11-27,3:30 pm,7:10 pm,$34
352,2017-11-28,7:45 am,11:05 am,$26
353,2017-11-28,9:50 am,2:15 pm,$24
354,2017-11-28,3:30 pm,7:10 pm,$24
355,2017-11-28,3:30 pm,7:10 pm,$34
356,2017-11-29,7:45 am,11:05 am,$26
357,2017-11-29,9:50 am,2:15 pm,$1
358,2017-11-29,3:30 pm,7:10 pm,$24
359,2017-11-29,3:30 pm,7:10 pm,$34
360,2017-11-30,7:45 am,11:05 am,$26
361,2017-11-30,9:50 am,2:15 pm,$24
362,2017-11-30,3:30 pm,7:10 pm,$24
363,2017-11-30,3:30 pm,7:10 pm,$34
364,2017-12-01,7:45 am,11:05 am,$26
365,2017-12-01,9:50 am,2:15 pm,$25
366,2017-12-01,3:30 pm,7:40 pm,$24
367,2017-12-01,3:30 pm,7:40 pm,$34
368,2017-12-01,4:30 pm,8:49 pm,$34
369,2017-12-02,7:45 am,11:05 am,$26
370,2017-12-02,9:50 am,2:15 pm,$25
371,2017-12-02,3:30 pm,7:10 pm,$1
372,2017-12-02,3:30 pm,7:10 pm,$34
373,2017-12-03,7:45 am,11:05 am,$26
374,2017-12-03,9:50 am,2:15 pm,$24
375,2017-12-03,3:30 pm,7:44 pm,$24
376,2017-12-03,4:30 pm,8:15 pm,$34
377,2017-12-03,4:30 pm,8:15 pm,$44
378,2017-12-04,7:45 am,11:05 am,$26
379,2017-12-04,9:50 am,2:15 pm,$24
380,2017-12-04,3:30 pm,7:10 pm,$24
381,2017-12-04,3:30 pm,7:10 pm,$34
382,2017-12-05,7:45 am,11:05 am,$26
383,2017-12-05,9:50 am,2:15 pm,$24
384,2017-12-05,3:30 pm,7:10 pm,$1
385,2017-12-05,3:30 pm,7:10 pm,$34
386,2017-12-06,7:45 am,11:05 am,$26
387,2017-12-06,9:50 am,2:15 pm,$24
388,2017-12-06,3:30 pm,7:10 pm,$24
389,2017-12-06,3:30 pm,7:10 pm,$34
390,2017-12-07,7:45 am,11:05 am,$26
391,2017-12-07,9:50 am,2:15 pm,$24
392,2017-12-07,3:30 pm,7:10 pm,$24
393,2017-12-07,3:30 pm,7:10 pm,$34
394,2017-12-08,7:45 am,11:05 am,$26
395,2017-12-08,9:50 am,2:15 pm,$24
396,2017-12-08,3:30 pm,7:40 pm,$24
397,2017-12-08,3:30 pm,7:40 pm,$34
398,2017-12-08,4:30 pm,8:49 pm,$25
399,2017-12-09,7:45 am,11:05 am,$26
400,2017-12-09,9:50 am,2:15 pm,$24
401,2017-12-09,3:30 pm,7:10 pm,$1
